book_id,title,language,place_of_publication,published_year,edition,price,class_number,source,notes,author_id,publisher_id
B00870,နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေတွင် ပါရှိသင့်သည့်အခန်းအလိုက်ခေါင်းစဥ်များ လျာထားသတ်မှတ်ရေးနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံစုံညီအစည်းအဝေးတွင် အမျိုးသားညီလာခံကိုယ်စားလှယ်များအား အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီ ဥက္ကဌ ဦးအောင်တိုး ရှင်းလင်းပြောကြားသည့် မိန့်ခွန်း,Burmese,ရန်ကုန်,၁၉၉၃,၁ ကြိမ်,,၃၂၀.၉၅၉၁,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00871,အမျိုးသားညီလာခံ၌ နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေရေးဆွဲရေးအတွက် အခြေခံမူများ ချမှတ်ရေးနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီ ဥက္ကဌ ဦးအောင်တိုး၏ ရှင်းလင်းပြောကြားချက်,Burmese,ရန်ကုန်,၁၉၉၃,၁ ကြိမ်,,၃၂၀.၉၅၉၁,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00872,အမျိုးသားညီလာခံ၌ အမျိုးသားညီလာခံကျင်းပရေးကော်မရှင် ဥက္ကဌသဘာပတိ ဒုတိယဗိုလ်ချုပ်ကြီးမျိုးညွန့် ပြောကြားသည့် မိန့်ခွန်း,Burmese,ရန်ကုန်,၁၉၉၃,၁ ကြိမ်,,၃၂၀.၉၅၉၁,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00873,အမျိုးသားညီလာခံ၌ နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေ ရေးဆွဲရာတွင် ပါဝင်မည့် နိုင်ငံတော်အခန်း၊ နိုင်ငံတော်ဖွဲ့စည်းတည်ဆောက်ပုံအခန်းနှင့် နိုင်ငံတော်အကြီးအကဲအခန်းများအတွက် အခြေခံရမည့်မူများချမှတ်ရေးနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီဥက္ကဌ ဦးအောင်တိုး၏ ရှင်းလင်းပြောကြားချက်,Burmese,ရန်ကုန်,၁၉၉၄,၁ ကြိမ်,,,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00874,အမျိုးသားညီလာခံ၌ နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေ ရေးဆွဲရာတွင် ပါဝင်မည့် နိုင်ငံတော်အခန်း၊ နိုင်ငံတော်ဖွဲ့စည်းတည်ဆောက်ပုံအခန်းနှင့် နိုင်ငံတော်အကြီးအကဲအခန်းများအတွက် အခြေခံရမည့်မူများချမှတ်ရေးနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံစုံညီအစည်းအဝေး၌ အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီဥက္ကဌ ဦးအောင်တိုး၏ ရှင်းလင်းပြောကြားချက်,Burmese,ရန်ကုန်,၁၉၉၄,၁ ကြိမ်,,၃၂၀.၉၅၉၁,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00875,အမျိုးသားညီလာခံ၌ နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေရေးဆွဲရာတွင် ပါဝင်မည့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရတိုင်း သို့မဟုတ် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ သတ်မှတ်ရေးအတွက် အသေးစိတ်အခြေခံရမည့်မူများချမှတ်ရေးနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီ ဥက္ကဌ ဦးအောင်တိုး၏ ရှင်းလင်းပြောကြားချက်,Burmese,ရန်ကုန်,၁၉၉၅,၁ ကြိမ်,,၃၂၀.၉၅၉၁,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00876,မျိုးစေ့များအကြောင်း,Burmese,ရန်ကုန်,၂၀၁၅,၃ ကြိမ်,,,,,A0382,P0238
B00877,သူတို့၏ တွေ့ဆုံဆွေးနွေးရေးအတွေ့အကြုံ (လက်ရွေးစင် ၁),Burmese,ရန်ကုန်,၁၉--,၁ ကြိမ်,,,,,A0383,P0239
B00878,ကဗျာများ စုစည်းမှု,Burmese,ရန်ကုန်,၂၀၂၅,၁ ကြိမ်,,,ဝယ်ယူ,,A0384,P0240
B00879,အိုက်ဝေဝေပြောနေသည်,Burmese,ရန်ကုန်,၂၀၁၅,၁ ကြိမ်,၄၀၀၀,,ဝယ်ယူ,,A0385,P0035
B00880,အားလုံးကောင်းသွားမှာပါ,Burmese,ရန်ကုန်,၂၀၂၃,၁ ကြိမ်,၄၀၀၀,,လက်ဆောင်,,A0386,P0065
B00881,သုတဓမ္မဒီပလိုမာ Level 3,Burmese,ရန်ကုန်,၂၀၂၃,၁ ကြိမ်,,,ဝယ်ယူ,,A0387,P0241
B00882,နှလုံးရည်ရာအထောင်နဲ့,Burmese,ရန်ကုန်,၂၀၁၉,၁ ကြိမ်,၃၅၀၀,,ဝယ်ယူ,,A0388,P0101
B00883,အမှတ်တရဆရာမောင်သာနိုး,Burmese,ရန်ကုန်,၂၀၂၃,၁ ကြိမ်,၃၀၀၀,,ဝယ်ယူ,,A0389,P0007
B00884,ဘဝဇာတ်ခုံ ၁၀၁,Burmese,ရန်ကုန်,၂၀၂၂,၁ ကြိမ်,၁၅၀၀၀,,ဝယ်ယူ,,A0202,P0016
B00885,ပြည်တော်သာ ပြည်ထောင်စုပန်းတိုင်,Burmese,ရန်ကုန်,၂၀၁၃,၁ ကြိမ်,၃၅၀၀,,ဝယ်ယူ,,A0170,P0016
B00886,ဗိုလ်ချုပ်ကြီးဟောင်း၊ ထောက်လှမ်းရေးညွှန်ကြားရေးမှုး‌ဟောင်း၊ နိုင်ငံတော်ဝန်ကြီးချုပ်ဟောင်းဦးခင်ညွှန့်နှင့် အင်တာဗျူး,Burmese,ရန်ကုန်,၂၀၁၅,၃ ကြိမ်,၅၀၀၀,,ဝယ်ယူ,,A0390,P0242
B00887,တော်လှန်ရေးကောင်စီခေတ် ( ၁၉၆၂- ၇၄)နဲ့ ကျွန်တော်,Burmese,ရန်ကုန်,၂၀၁၂,၁ ကြိမ်,၇၀၀၀,,ဝယ်ယူ,,A0391,P0243
B00888,တစ်နိုင်ငံလုံးပစ်ခတ်တိုက်ခိုက်မှုရပ်စဲရေးသဘောတူစာချုပ် အဓိပ္ပာယ်ဖွင့်ဆိုချက်များ,Burmese,ရန်ကုန်,၂၀၁၈,၁ ကြိမ်,,,လက်ဆောင်,,A0072,P0244
B00889,တစ်နိုင်ငံလုံးပစ်ခတ်တိုက်ခိုက်မှုရပ်စဲရေးသဘောတူစာချုပ် အဓိပ္ပာယ်ဖွင့်ဆိုချက်များ,Burmese,ရန်ကုန်,၂၀၁၈,၁ ကြိမ်,,,လက်ဆောင်,,A0072,P0244
B00890,အနာဂတ်ရှိသမျှ ချစ်ရလိုပါ၏,Burmese,ရန်ကုန်,၁၉--,၁ ကြိမ်,,,ဝယ်ယူ,,A0392,
B00891,ယောအတွင်းဝန်ဦးဘိုးလှိုင်,Burmese,မန္တလေး,၁၉၆၀,၁ ကြိမ်,၃ ကျပ် ၅ ပြား,,ဝယ်ယူ,,A0393,P0245
B00892,အရှေ့တောင်အာရှမှ စစ်မီးလျှံများ,Burmese,ရန်ကုန်,၁၉၆၄,၁ ကြိမ်,,၃၅၅.၄,ဝယ်ယူ,,A0394,P0246
B00893,သခင်ကိုယ်တော်မှိုင်းအတ္ထုပ္ပတ္တိ,Burmese,ရန်ကုန်,၁၉၇၅,၁ ကြိမ်,၅ ကျပ်,,ဝယ်ယူ,,A0395,P0247
B00894,ဘေးမဲ့တော,Burmese,ရန်ကုန်,၁၉၇၂,၁ ကြိမ်,,၉၃၄.၉,ဝယ်ယူ,,A0396,P0108
B00895,ခေတ်‌ဟောင်းပညာရေးစနစ်အားလေ့လာချက်,Burmese,ရန်ကုန်,၁၉၇၂,၁ ကြိမ်,,,ဝယ်ယူ,,A0397,P0248
B00896,အဝီစိမှာရေဖြစ်ပါစေ,Burmese,ရန်ကုန်,၁၉--,၁ ကြိမ်,,,ဝယ်ယူ,,A0016,
B00897,တိုင်းရင်းသားယဥ်ကျေးမှု ရိုးရာဓလေ့ထုံးစံများ - ကချင်,Burmese,ရန်ကုန်,၁၉၇၁,၁ ကြိမ်,,၃၉၀.၀၉၅၈,ဝယ်ယူ,ရည်ညွှန်း,A0061,P0046
